group	type	rt
monolingual	NA	926.1506668
monolingual	NA	903.4671429
monolingual	NA	900.5914221
monolingual	NA	904.9680957
monolingual	NA	898.4636134
monolingual	NA	918.1926931
monolingual	NA	900.2600515
monolingual	NA	898.996672
monolingual	NA	893.0425635
monolingual	NA	903.9290763
monolingual	NA	914.6460336
monolingual	NA	879.837584
monolingual	NA	894.110457
monolingual	NA	895.8868703
monolingual	NA	906.7343775
monolingual	NA	891.0207959
monolingual	NA	909.3434931
monolingual	NA	883.27261
monolingual	NA	899.5838174
monolingual	NA	896.8056484
monolingual	NA	901.7673641
monolingual	NA	912.088608
monolingual	NA	906.5046196
monolingual	NA	894.3688791
monolingual	NA	906.2969579
monolingual	NA	895.7317396
monolingual	NA	901.1358497
monolingual	NA	899.3043153
monolingual	NA	898.00958
monolingual	NA	905.4700344
monolingual	NA	891.2488974
monolingual	NA	893.7554742
monolingual	NA	905.085398
monolingual	NA	902.6486503
monolingual	NA	891.4877082
monolingual	NA	896.7162465
monolingual	NA	910.3295011
monolingual	NA	915.2682014
monolingual	NA	901.6548551
monolingual	NA	911.7347528
monolingual	NA	885.4925611
monolingual	NA	907.5985978
monolingual	NA	894.9939677
monolingual	NA	922.6727124
monolingual	NA	912.1249932
monolingual	NA	893.7504385
monolingual	NA	902.8567082
monolingual	NA	897.9562461
monolingual	NA	907.8803874
monolingual	NA	889.3848038
monolingual	NA	922.4087198
monolingual	NA	895.4643599
monolingual	NA	897.5549374
monolingual	NA	893.5240938
monolingual	NA	908.2851428
monolingual	NA	889.6053563
monolingual	NA	894.0134777
monolingual	NA	899.7837032
monolingual	NA	895.8412092
monolingual	NA	903.2900667
monolingual	NA	914.3417974
monolingual	NA	887.4683661
monolingual	NA	910.5741004
monolingual	NA	917.5286019
monolingual	NA	907.4761126
monolingual	NA	892.0121954
monolingual	NA	904.2942032
monolingual	NA	901.8041617
monolingual	NA	889.9455517
monolingual	NA	895.6661838
monolingual	NA	900.0080171
monolingual	NA	909.1361934
monolingual	NA	911.5740139
monolingual	NA	907.1823094
monolingual	NA	891.8367545
monolingual	NA	888.5612483
monolingual	NA	907.1709055
monolingual	NA	900.8982283
monolingual	NA	876.9268257
monolingual	NA	896.6923953
monolingual	NA	887.0420794
monolingual	NA	904.2713309
monolingual	NA	884.1445273
monolingual	NA	899.0793468
monolingual	NA	894.3907243
monolingual	NA	912.5090451
monolingual	NA	915.141392
bilingual	high	931.8969171
bilingual	high	953.4019845
bilingual	high	934.2860268
bilingual	high	961.9090811
bilingual	high	960.9246955
bilingual	high	950.0085583
bilingual	high	952.1350696
bilingual	high	956.1234982
bilingual	high	949.9857372
bilingual	high	959.9515901
bilingual	high	956.0369595
bilingual	high	975.841095
bilingual	high	931.7924864
bilingual	high	960.8460072
bilingual	high	957.1992081
bilingual	high	953.0001604
bilingual	high	969.4089011
bilingual	high	940.4936974
bilingual	high	950.5772811
bilingual	high	931.6106054
bilingual	high	944.8638301
bilingual	high	938.0071465
bilingual	high	940.1397825
bilingual	high	946.775783
bilingual	high	962.057544
bilingual	high	941.5518633
bilingual	high	923.1629874
bilingual	high	961.4165491
bilingual	high	940.7100896
bilingual	high	962.8863882
bilingual	high	956.6452001
bilingual	high	960.7063519
bilingual	high	942.7355196
bilingual	high	955.8483806
bilingual	high	957.5926069
bilingual	high	968.553681
bilingual	high	964.6696949
bilingual	high	965.7016467
bilingual	high	946.9624512
bilingual	high	938.8158393
bilingual	high	946.7817903
bilingual	high	935.607597
bilingual	high	924.7896524
bilingual	high	956.7170303
bilingual	high	946.0648066
bilingual	high	963.6947284
bilingual	high	925.803932
bilingual	high	952.8691827
bilingual	high	954.9111829
bilingual	high	936.6666356
bilingual	high	961.3790068
bilingual	high	964.1965686
bilingual	high	963.7728236
bilingual	high	963.7174939
bilingual	high	943.088814
bilingual	high	922.1050669
bilingual	high	941.5703377
bilingual	high	946.2060507
bilingual	high	984.8485921
bilingual	high	958.9485257
bilingual	high	935.2075771
bilingual	high	946.238985
bilingual	high	936.3492678
bilingual	high	956.2850935
bilingual	high	976.0249413
bilingual	high	951.5444913
bilingual	high	971.7260888
bilingual	high	947.1686997
bilingual	high	908.6915863
bilingual	high	966.0977667
bilingual	high	956.7504615
bilingual	high	955.9445702
bilingual	high	961.9605069
bilingual	high	942.8831508
bilingual	high	959.1135726
bilingual	high	937.234313
bilingual	high	950.7198835
bilingual	high	956.514792
bilingual	high	941.8608177
bilingual	high	949.6653267
bilingual	high	950.6075045
bilingual	high	941.4074966
bilingual	high	955.8692802
bilingual	high	917.792064
bilingual	high	957.3269287
bilingual	high	980.9011852
bilingual	high	944.6831391
bilingual	high	962.0963164
bilingual	high	983.714726
bilingual	high	956.632461
bilingual	high	947.379169
bilingual	high	950.6741909
bilingual	high	941.8829465
bilingual	high	914.6975324
bilingual	high	930.1074697
bilingual	high	937.2133305
bilingual	high	949.3354277
bilingual	high	935.5309645
bilingual	high	946.7852497
bilingual	high	967.9034552
bilingual	low	1084.399059
bilingual	low	1108.694587
bilingual	low	1112.783926
bilingual	low	1110.515997
bilingual	low	1106.397616
bilingual	low	1081.683907
bilingual	low	1104.137969
bilingual	low	1073.252706
bilingual	low	1076.12515
bilingual	low	1120.70079
bilingual	low	1086.546628
bilingual	low	1065.771347
bilingual	low	1092.935906
bilingual	low	1094.678947
bilingual	low	1105.326799
bilingual	low	1110.805608
bilingual	low	1108.616274
bilingual	low	1056.396795
bilingual	low	1104.627416
bilingual	low	1118.80459
bilingual	low	1079.977866
bilingual	low	1074.732862
bilingual	low	1082.645578
bilingual	low	1088.344989
bilingual	low	1071.572381
bilingual	low	1061.109309
bilingual	low	1113.444243
bilingual	low	1093.953434
bilingual	low	1088.927699
bilingual	low	1124.775475
bilingual	low	1108.039863
bilingual	low	1129.914084
bilingual	low	1115.730661
bilingual	low	1086.82247
bilingual	low	1097.649611
bilingual	low	1104.858697
bilingual	low	1081.751024
bilingual	low	1099.825039
bilingual	low	1089.595604
bilingual	low	1087.937526
bilingual	low	1060.919285
bilingual	low	1049.59338
bilingual	low	1110.774541
bilingual	low	1073.961807
bilingual	low	1095.775147
bilingual	low	1082.98004
bilingual	low	1122.023078
bilingual	low	1090.432026
bilingual	low	1106.321857
bilingual	low	1079.329987
bilingual	low	1131.751051
bilingual	low	1071.694453
bilingual	low	1118.273372
bilingual	low	1119.72624
bilingual	low	1137.349064
bilingual	low	1065.810021
bilingual	low	1122.452652
bilingual	low	1098.397292
bilingual	low	1125.380799
bilingual	low	1099.116462
bilingual	low	1121.843034
bilingual	low	1116.390628
bilingual	low	1113.247375
bilingual	low	1073.214956
bilingual	low	1105.823147
bilingual	low	1092.583314
bilingual	low	1091.129732
bilingual	low	1080.246315
bilingual	low	1105.170716
bilingual	low	1138.025763
bilingual	low	1119.335757
bilingual	low	1086.117469
bilingual	low	1078.93062
bilingual	low	1121.333186
bilingual	low	1091.354276
bilingual	low	1095.218452
bilingual	low	1120.452992
bilingual	low	1104.83885
bilingual	low	1092.030519
bilingual	low	1067.207296
bilingual	low	1070.277192
bilingual	low	1102.910281
bilingual	low	1101.675474
bilingual	low	1097.496028
bilingual	low	1125.161831
bilingual	low	1117.810805
bilingual	low	1102.56494
bilingual	low	1091.429395
bilingual	low	1061.438456
bilingual	low	1084.195353
bilingual	low	1103.064223
bilingual	low	1107.699518
bilingual	low	1102.296029
bilingual	low	1082.524834
bilingual	low	1072.871795
bilingual	low	1097.723574
bilingual	low	1096.97527
bilingual	low	1106.935822
bilingual	low	1103.276817
bilingual	low	1105.462492
